Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Litecoin,LTC,17/11/2017,Sexta-feira,71.11840057373047,65.78179931640625,70.44840240478516,67.56900024414062,350504992.0,3639939202.45
Litecoin,LTC,18/11/2017,Sábado,69.7656021118164,65.71410369873047,67.40519714355469,69.6436996459961,174063008.0,3752808798.37
Litecoin,LTC,19/11/2017,Domingo,72.98079681396484,68.60420227050781,69.51190185546875,71.58930206298828,243056992.0,3858885780.51
Litecoin,LTC,20/11/2017,Segunda-feira,72.91840362548828,70.79299926757812,71.41300201416016,72.25279998779297,188976000.0,3895876984.05
Litecoin,LTC,21/11/2017,Terça-feira,72.53450012207031,68.1093978881836,72.1968002319336,70.0282974243164,231664992.0,3776954172.25
Litecoin,LTC,22/11/2017,Quarta-feira,71.95099639892578,70.18219757080078,70.18219757080078,71.8927993774414,157890000.0,3878507509.63
Litecoin,LTC,23/11/2017,Quinta-feira,76.39679718017578,70.90280151367188,71.97509765625,73.22339630126953,315247008.0,3951301844.24
Litecoin,LTC,24/11/2017,Sexta-feira,77.96829986572266,72.81230163574219,73.14189910888672,77.96829986572266,287392000.0,4208440986.98
Litecoin,LTC,25/11/2017,Sábado,89.36720275878906,77.52230072021484,77.90869903564453,88.81690216064453,487896992.0,4795225155.14
Litecoin,LTC,26/11/2017,Domingo,88.93930053710938,84.01730346679688,88.93930053710938,85.92680358886719,357456992.0,4640580646.73
Litecoin,LTC,27/11/2017,Segunda-feira,93.28620147705078,85.88970184326172,85.88970184326172,91.60269927978516,429591008.0,4948735851.38
Litecoin,LTC,28/11/2017,Terça-feira,96.03379821777344,90.3397979736328,91.7239990234375,96.03379821777344,388931008.0,5189729756.95
Litecoin,LTC,29/11/2017,Quarta-feira,104.60900115966795,81.76809692382812,96.0124969482422,85.57099914550781,786819968.0,4625810651.32
Litecoin,LTC,30/11/2017,Quinta-feira,93.53990173339844,78.07540130615234,86.24669647216797,88.33070373535156,481948000.0,4776295619.93
Litecoin,LTC,01/12/2017,Sexta-feira,100.41200256347656,83.73829650878906,88.00350189208984,99.00370025634766,561342976.0,5354697599.74
Litecoin,LTC,02/12/2017,Sábado,103.79499816894533,98.31590270996094,98.94149780273438,100.28399658203124,402553984.0,5425172170.93
Litecoin,LTC,03/12/2017,Domingo,106.39099884033205,98.10160064697266,100.19499969482422,101.26300048828124,364022016.0,5479554407.91
Litecoin,LTC,04/12/2017,Segunda-feira,104.23600006103516,96.53250122070312,101.39600372314452,104.23600006103516,331151008.0,5642170446.65
